矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
433,0.20525,0.02047,0.04717,0.01958,4.351,1468.14,30.59,0.72,0.05
434,0.20851,0.01794,0.04569,0.01407,4.564,1474.92,30.73,0.72,0.05
435,0.21135,0.02292,0.04764,0.01367,4.436,1481.72,30.87,0.72,0.05
436,0.20391,0.01391,0.04279,0.01074,4.765,1488.53,31.01,0.73,0.05
437,0.21434,0.02068,0.04799,0.00722,4.466,1495.36,31.15,0.73,0.05
438,0.21238,0.02104,0.04353,0.01267,4.879,1502.20,31.30,0.73,0.05
439,0.21562,0.01901,0.04742,0.01035,4.547,1509.06,31.44,0.74,0.05
440,0.21321,0.01726,0.04172,0.00851,5.110,1515.94,31.58,0.74,0.05
441,0.21375,0.01713,0.04681,0.00501,4.566,1522.83,31.73,0.74,0.05
442,0.20570,0.00714,0.04247,0.01021,4.843,1529.73,31.87,0.75,0.05
443,0.20739,0.01120,0.04365,0.00267,4.751,1536.66,32.01,0.75,0.05
444,0.21330,0.01527,0.04219,0.00544,5.056,1543.59,32.16,0.75,0.05
445,0.20905,0.00689,0.04454,0.00709,4.694,1550.55,32.30,0.76,0.05
446,0.21588,0.04384,0.04153,0.00760,5.198,1557.52,32.45,0.76,0.05
447,0.21664,0.02045,0.04730,0.01182,4.580,1564.50,32.59,0.76,0.05
448,0.22776,0.02972,0.04513,0.00709,5.047,1571.50,32.74,0.77,0.05
449,0.23020,0.04392,0.04757,0.01085,4.839,1578.52,32.89,0.77,0.05
450,0.22106,0.01640,0.04840,0.01415,4.567,1585.55,33.03,0.77,0.05
451,0.23011,0.02678,0.04894,0.00547,4.702,1592.59,33.18,0.78,0.05
452,0.23998,0.03480,0.04544,0.00830,5.281,1599.66,33.33,0.78,0.05
453,0.22949,0.02088,0.04951,0.01177,4.635,1606.73,33.47,0.78,0.05
454,0.22275,0.01456,0.04466,0.00480,4.988,1613.83,33.62,0.79,0.05
455,0.22510,0.02114,0.05402,0.02389,4.167,1620.94,33.77,0.79,0.05
456,0.22314,0.01238,0.04474,0.00975,4.987,1628.06,33.92,0.79,0.05
457,0.22525,0.01192,0.04741,0.00434,4.751,1635.20,34.07,0.80,0.05
458,0.23725,0.03133,0.04450,0.00290,5.331,1642.36,34.22,0.80,0.05
459,0.23549,0.02132,0.04987,0.00697,4.722,1649.53,34.37,0.81,0.05
460,0.22871,0.01509,0.04658,0.00977,4.910,1656.72,34.51,0.81,0.05
461,0.24084,0.03811,0.04924,0.00566,4.891,1663.92,34.67,0.81,0.05
462,0.23386,0.02442,0.05080,0.02058,4.604,1671.14,34.82,0.82,0.05
463,0.23641,0.02759,0.05282,0.01607,4.476,1678.38,34.97,0.82,0.05
464,0.24496,0.03678,0.05208,0.02454,4.704,1685.62,35.12,0.82,0.05
465,0.23538,0.01464,0.04957,0.00413,4.748,1692.89,35.27,0.83,0.06
466,0.23971,0.02624,0.04633,0.00424,5.174,1700.17,35.42,0.83,0.06
467,0.24523,0.03494,0.04920,0.00427,4.984,1707.47,35.57,0.83,0.06
468,0.24041,0.03250,0.04963,0.00800,4.844,1714.78,35.72,0.84,0.06
469,0.24277,0.03321,0.05017,0.00397,4.839,1722.11,35.88,0.84,0.06
470,0.24451,0.02182,0.04862,0.00368,5.029,1729.45,36.03,0.84,0.06
471,0.25496,0.03380,0.05656,0.01390,4.508,1736.81,36.18,0.85,0.06
472,0.25237,0.02978,0.04997,0.00604,5.050,1744.19,36.34,0.85,0.06
473,0.25086,0.02520,0.05121,0.00521,4.899,1751.58,36.49,0.86,0.06
474,0.26002,0.03712,0.05130,0.00886,5.069,1758.98,36.65,0.86,0.06
475,0.25222,0.01988,0.05601,0.02154,4.503,1766.41,36.80,0.86,0.06
476,0.26234,0.03383,0.04843,0.00893,5.417,1773.84,36.96,0.87,0.06
477,0.25419,0.02713,0.05136,0.00624,4.949,1781.30,37.11,0.87,0.06
478,0.25390,0.02738,0.04996,0.00910,5.082,1788.77,37.27,0.87,0.06
479,0.25948,0.02903,0.05905,0.02709,4.394,1796.25,37.42,0.88,0.06
480,0.27819,0.06220,0.05033,0.00622,5.527,1803.75,37.58,0.88,0.06
481,0.26204,0.02267,0.05678,0.01499,4.615,1811.27,37.73,0.88,0.06
482,0.26122,0.02762,0.05031,0.00837,5.192,1818.80,37.89,0.89,0.06
483,0.26142,0.02092,0.05537,0.01369,4.721,1826.34,38.05,0.89,0.06
484,0.28131,0.06905,0.05595,0.00973,5.028,1833.91,38.21,0.90,0.06
485,0.26781,0.01732,0.06454,0.02586,4.150,1841.48,38.36,0.90,0.06
486,0.29053,0.08396,0.05373,0.01154,5.407,1849.08,38.52,0.90,0.06
487,0.27116,0.01949,0.05792,0.01040,4.682,1856.69,38.68,0.91,0.06
488,0.26598,0.02913,0.05427,0.00616,4.901,1864.31,38.84,0.91,0.06
489,0.26136,0.00869,0.05615,0.01064,4.655,1871.95,39.00,0.91,0.06
490,0.27521,0.02175,0.05784,0.01465,4.758,1879.61,39.16,0.92,0.06
491,0.26503,0.01309,0.05555,0.01020,4.771,1887.28,39.32,0.92,0.06
492,0.26085,0.01166,0.05254,0.00591,4.965,1894.97,39.48,0.93,0.06
493,0.27015,0.04841,0.05549,0.00619,4.868,1902.67,39.64,0.93,0.06
494,0.26649,0.01351,0.05526,0.00565,4.822,1910.39,39.80,0.93,0.06
495,0.27431,0.01640,0.05881,0.01803,4.664,1918.12,39.96,0.94,0.06
496,0.28217,0.01811,0.05957,0.01749,4.737,1925.88,40.12,0.94,0.06
497,0.27872,0.02665,0.06040,0.01239,4.615,1933.64,40.28,0.94,0.06
498,0.27769,0.02364,0.05265,0.00501,5.274,1941.42,40.45,0.95,0.06
499,0.28065,0.02958,0.05807,0.00905,4.833,1949.22,40.61,0.95,0.06
500,0.28493,0.04336,0.05992,0.01971,4.755,1957.03,40.77,0.96,0.06
501,0.29191,0.05396,0.06029,0.01076,4.842,1964.86,40.93,0.96,0.06
502,0.29169,0.06290,0.05510,0.01375,5.294,1972.70,41.10,0.96,0.06
503,0.28690,0.02388,0.06484,0.01843,4.425,1980.56,41.26,0.97,0.06
504,0.29520,0.03455,0.06324,0.01568,4.668,1988.44,41.43,0.97,0.06
505,0.28544,0.01708,0.05808,0.00491,4.915,1996.33,41.59,0.97,0.06
506,0.27942,0.01400,0.05765,0.01458,4.847,2004.23,41.75,0.98,0.07
507,0.28970,0.01734,0.06011,0.00727,4.819,2012.16,41.92,0.98,0.07
508,0.28271,0.01418,0.06018,0.01970,4.698,2020.09,42.09,0.99,0.07
509,0.30519,0.04065,0.06734,0.02859,4.532,2028.05,42.25,0.99,0.07
510,0.28925,0.02262,0.05738,0.00922,5.041,2036.02,42.42,0.99,0.07
511,0.30873,0.05576,0.06302,0.01294,4.899,2044.00,42.58,1.00,0.07
512,0.42896,0.06000,0.06504,0.01504,6.595,2052.00,42.75,1.00,0.07
513,0.29843,0.02431,0.07873,0.03158,3.790,2060.02,42.92,1.01,0.07
