矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
957,0.81503,0.09259,0.47343,0.02928,1.722,7162.55,149.22,3.50,0.23
958,0.85603,0.05465,0.45073,0.03628,1.899,7177.52,149.53,3.50,0.23
959,0.86090,0.11271,0.47723,0.03184,1.804,7192.50,149.84,3.51,0.23
960,1.22083,0.03162,0.42983,0.02761,2.840,7207.50,150.16,3.52,0.23
961,0.79743,0.02712,0.35237,0.01397,2.263,7222.52,150.47,3.53,0.24
962,0.83727,0.05322,0.35117,0.01830,2.384,7237.55,150.78,3.53,0.24
963,0.81690,0.08266,0.38147,0.06674,2.141,7252.59,151.10,3.54,0.24
964,0.89153,0.04552,0.35020,0.01861,2.546,7267.66,151.41,3.55,0.24
965,0.79393,0.03361,0.35680,0.01414,2.225,7282.73,151.72,3.56,0.24
966,0.83143,0.02497,0.35993,0.02145,2.310,7297.83,152.04,3.56,0.24
967,0.78373,0.03850,0.35913,0.01675,2.182,7312.94,152.35,3.57,0.24
968,0.91130,0.02739,0.35230,0.01801,2.587,7328.06,152.67,3.58,0.24
969,0.84780,0.13089,0.35967,0.01591,2.357,7343.20,152.98,3.59,0.24
970,0.87273,0.07213,0.35757,0.02143,2.441,7358.36,153.30,3.59,0.24
971,0.80650,0.03303,0.36120,0.01504,2.233,7373.53,153.62,3.60,0.24
972,0.88570,0.02147,0.36230,0.02551,2.445,7388.72,153.93,3.61,0.24
973,0.79777,0.03801,0.36437,0.01605,2.189,7403.92,154.25,3.62,0.24
974,0.86050,0.05395,0.36097,0.01908,2.384,7419.14,154.57,3.62,0.24
975,0.82057,0.04504,0.48227,0.19181,1.701,7434.38,154.88,3.63,0.24
976,1.42100,0.32320,0.37727,0.03727,3.767,7449.62,155.20,3.64,0.24
977,0.84400,0.05830,0.53633,0.10372,1.574,7464.89,155.52,3.64,0.24
978,0.87263,0.05067,0.44970,0.03095,1.940,7480.17,155.84,3.65,0.24
979,0.85813,0.06120,0.62550,0.07966,1.372,7495.47,156.16,3.66,0.24
980,1.10853,0.29020,0.49300,0.11441,2.249,7510.78,156.47,3.67,0.24
981,1.03417,0.20046,0.50080,0.02666,2.065,7526.11,156.79,3.67,0.24
982,0.87873,0.05137,0.44650,0.02247,1.968,7541.45,157.11,3.68,0.25
983,0.82823,0.04679,0.50103,0.02963,1.653,7556.81,157.43,3.69,0.25
984,0.94067,0.02895,0.46447,0.03687,2.025,7572.19,157.75,3.70,0.25
985,0.99427,0.18638,0.38463,0.02814,2.585,7587.58,158.07,3.70,0.25
986,1.07330,0.19231,0.43180,0.06525,2.486,7602.98,158.40,3.71,0.25
987,0.83410,0.03217,0.37603,0.01710,2.218,7618.41,158.72,3.72,0.25
988,0.92737,0.04096,0.49100,0.04908,1.889,7633.84,159.04,3.73,0.25
989,0.95490,0.09009,0.39317,0.03275,2.429,7649.30,159.36,3.74,0.25
990,0.91990,0.05063,0.39983,0.03082,2.301,7664.77,159.68,3.74,0.25
991,0.90233,0.04441,0.39080,0.02722,2.309,7680.25,160.01,3.75,0.25
992,1.38830,0.15312,0.50207,0.05067,2.765,7695.75,160.33,3.76,0.25
993,0.90527,0.05962,0.55707,0.04323,1.625,7711.27,160.65,3.77,0.25
994,0.98167,0.24569,0.47953,0.02498,2.047,7726.80,160.97,3.77,0.25
995,0.96647,0.14225,0.52047,0.03507,1.857,7742.34,161.30,3.78,0.25
996,0.98207,0.12068,0.44233,0.06918,2.220,7757.91,161.62,3.79,0.25
997,0.88297,0.07601,0.46287,0.06597,1.908,7773.48,161.95,3.80,0.25
998,1.06273,0.17401,0.40490,0.07915,2.625,7789.08,162.27,3.80,0.25
999,0.89677,0.07672,0.47310,0.09156,1.896,7804.69,162.60,3.81,0.25
1000,0.99860,0.04045,0.38200,0.02155,2.614,7820.31,162.92,3.82,0.25
1001,0.86527,0.03142,0.44990,0.08045,1.923,7835.95,163.25,3.83,0.26
1002,1.18227,0.23278,0.53347,0.12318,2.216,7851.61,163.58,3.83,0.26
1003,1.10130,0.18251,0.40160,0.03219,2.742,7867.28,163.90,3.84,0.26
1004,1.01150,0.12231,0.43437,0.06455,2.329,7882.97,164.23,3.85,0.26
1005,1.12347,0.17826,0.40033,0.02761,2.806,7898.67,164.56,3.86,0.26
1006,1.09053,0.15448,0.40033,0.05503,2.724,7914.39,164.88,3.86,0.26
1007,0.89113,0.05096,0.39083,0.02186,2.280,7930.12,165.21,3.87,0.26
1008,1.27110,0.08569,0.54153,0.14640,2.347,7945.88,165.54,3.88,0.26
1009,1.30973,0.29935,0.46333,0.05414,2.827,7961.64,165.87,3.89,0.26
1010,0.92897,0.03459,0.42360,0.08785,2.193,7977.42,166.20,3.90,0.26
1011,0.96967,0.13697,0.46620,0.09220,2.080,7993.22,166.53,3.90,0.26
1012,1.01463,0.10120,0.45257,0.09244,2.242,8009.03,166.85,3.91,0.26
1013,1.13593,0.31058,0.39540,0.01679,2.873,8024.86,167.18,3.92,0.26
1014,0.99297,0.05554,0.50947,0.08161,1.949,8040.70,167.51,3.93,0.26
1015,0.96200,0.13001,0.40200,0.02288,2.393,8056.56,167.85,3.93,0.26
1016,1.11690,0.08094,0.41420,0.02709,2.697,8072.44,168.18,3.94,0.26
1017,0.96297,0.09063,0.41840,0.02569,2.302,8088.33,168.51,3.95,0.26
1018,1.00030,0.10822,0.39943,0.01713,2.504,8104.23,168.84,3.96,0.26
1019,0.94820,0.08946,0.59433,0.07026,1.595,8120.16,169.17,3.96,0.26
1020,1.06660,0.13106,0.51707,0.03454,2.063,8136.09,169.50,3.97,0.26
1021,0.95287,0.05505,0.57603,0.03426,1.654,8152.05,169.83,3.98,0.27
1022,1.10967,0.19409,0.49810,0.02688,2.228,8168.02,170.17,3.99,0.27
1023,0.88177,0.03017,0.55357,0.03318,1.593,8184.00,170.50,4.00,0.27
1024,4.75277,0.32739,0.40267,0.02553,11.803,8200.00,170.83,4.00,0.27
1025,0.91040,0.07767,0.42320,0.02235,2.151,8216.02,171.17,4.01,0.27
1026,0.95480,0.03528,0.40520,0.01905,2.356,8232.05,171.50,4.02,0.27
1027,0.97060,0.07383,0.42170,0.01935,2.302,8248.09,171.84,4.03,0.27
1028,1.01360,0.04454,0.40400,0.01597,2.509,8264.16,172.17,4.04,0.27
1029,0.94000,0.05898,0.41150,0.01847,2.284,8280.23,172.50,4.04,0.27
1030,0.95200,0.02880,0.42470,0.02675,2.242,8296.33,172.84,4.05,0.27
1031,0.92410,0.04244,0.59240,0.04875,1.560,8312.44,173.18,4.06,0.27
1032,1.26060,0.12906,0.41010,0.02085,3.074,8328.56,173.51,4.07,0.27
1033,0.94880,0.04440,0.42230,0.02079,2.247,8344.70,173.85,4.07,0.27
1034,0.98790,0.06146,0.50570,0.06642,1.954,8360.86,174.18,4.08,0.27
1035,0.99240,0.08077,0.66070,0.06865,1.502,8377.03,174.52,4.09,0.27
1036,1.20140,0.18162,0.54730,0.04620,2.195,8393.22,174.86,4.10,0.27
1037,0.98220,0.06138,0.60780,0.05743,1.616,8409.42,175.20,4.11,0.27
1038,1.00060,0.02962,0.61860,0.03198,1.618,8425.64,175.53,4.11,0.27
1039,1.00050,0.08713,0.59130,0.02956,1.692,8441.88,175.87,4.12,0.27
1040,1.52780,0.19150,0.53380,0.04626,2.862,8458.12,176.21,4.13,0.28
1041,0.95240,0.03057,0.57740,0.02312,1.649,8474.39,176.55,4.14,0.28
1042,1.02120,0.05209,0.53390,0.02797,1.913,8490.67,176.89,4.15,0.28
1043,1.01580,0.05290,0.60790,0.02019,1.671,8506.97,177.23,4.15,0.28
1044,1.21270,0.19501,0.58910,0.12856,2.059,8523.28,177.57,4.16,0.28
1045,1.25290,0.17620,0.55220,0.04339,2.269,8539.61,177.91,4.17,0.28
1046,1.09730,0.14445,0.43320,0.02066,2.533,8555.95,178.25,4.18,0.28
1047,0.96480,0.04750,0.55960,0.14012,1.724,8572.31,178.59,4.19,0.28
1048,1.20770,0.14291,0.45310,0.02294,2.665,8588.69,178.93,4.19,0.28
1049,1.05870,0.04958,0.43190,0.01290,2.451,8605.08,179.27,4.20,0.28
1050,1.03750,0.08918,0.43910,0.02018,2.363,8621.48,179.61,4.21,0.28
1051,1.10670,0.27616,0.65260,0.02846,1.696,8637.91,179.96,4.22,0.28
1052,1.10510,0.04999,0.57040,0.04026,1.937,8654.34,180.30,4.23,0.28
1053,1.08160,0.10525,0.61710,0.01367,1.753,8670.80,180.64,4.23,0.28
1054,1.16200,0.08191,0.49820,0.10006,2.332,8687.27,180.98,4.24,0.28
1055,1.10730,0.10634,0.43940,0.01485,2.520,8703.75,181.33,4.25,0.28
1056,1.48850,0.03666,0.44760,0.02619,3.326,8720.25,181.67,4.26,0.28
1057,1.02680,0.08433,0.44920,0.02639,2.286,8736.77,182.02,4.27,0.28
1058,1.09900,0.10066,0.47740,0.02953,2.302,8753.30,182.36,4.27,0.28
1059,1.08050,0.15546,0.44390,0.02318,2.434,8769.84,182.71,4.28,0.29
1060,1.07840,0.03853,0.45020,0.03076,2.395,8786.41,183.05,4.29,0.29
1061,1.11450,0.19964,0.45280,0.02648,2.461,8802.98,183.40,4.30,0.29
1062,1.11310,0.11007,0.52210,0.05167,2.132,8819.58,183.74,4.31,0.29
1063,1.30230,0.17533,0.50590,0.05484,2.574,8836.19,184.09,4.31,0.29
1064,1.15190,0.06359,0.57370,0.13808,2.008,8852.81,184.43,4.32,0.29
1065,1.15960,0.08978,0.46980,0.02447,2.468,8869.45,184.78,4.33,0.29
1066,1.18360,0.08115,0.50840,0.10740,2.328,8886.11,185.13,4.34,0.29
1067,1.05950,0.08618,0.45310,0.01766,2.338,8902.78,185.47,4.35,0.29
1068,1.23850,0.13394,0.50940,0.04513,2.431,8919.47,185.82,4.36,0.29
1069,1.39990,0.52766,0.96680,0.01740,1.448,8936.17,186.17,4.36,0.29
1070,1.29680,0.20908,0.51990,0.06235,2.494,8952.89,186.52,4.37,0.29
1071,1.38380,0.36885,0.55650,0.16531,2.487,8969.62,186.87,4.38,0.29
1072,1.73270,0.23824,0.49910,0.03567,3.472,8986.38,187.22,4.39,0.29
1073,1.26250,0.14638,0.47000,0.02144,2.686,9003.14,187.57,4.40,0.29
1074,1.25190,0.20466,1.06600,0.13762,1.174,9019.92,187.92,4.40,0.29
1075,1.46420,0.21163,0.60530,0.06932,2.419,9036.72,188.26,4.41,0.29
1076,1.23320,0.11086,0.50630,0.03576,2.436,9053.53,188.62,4.42,0.29
1077,1.18450,0.09114,0.47720,0.02382,2.482,9070.36,188.97,4.43,0.30
1078,1.08710,0.03985,0.65620,0.11273,1.657,9087.20,189.32,4.44,0.30
1079,1.08000,0.04653,0.58390,0.04799,1.850,9104.06,189.67,4.45,0.30
1080,1.18670,0.05725,0.46390,0.01780,2.558,9120.94,190.02,4.45,0.30
1081,1.02420,0.03472,0.46970,0.01764,2.181,9137.83,190.37,4.46,0.30
1082,1.10790,0.04193,0.47140,0.02645,2.350,9154.73,190.72,4.47,0.30
1083,1.27590,0.22725,0.64790,0.03548,1.969,9171.66,191.08,4.48,0.30
1084,1.29940,0.13306,0.66350,0.09064,1.958,9188.59,191.43,4.49,0.30
1085,1.22950,0.10207,0.72510,0.10047,1.696,9205.55,191.78,4.49,0.30
1086,1.14440,0.05740,0.59630,0.01754,1.919,9222.52,192.14,4.50,0.30
1087,1.16770,0.11665,0.65910,0.01121,1.772,9239.50,192.49,4.51,0.30
1088,1.63180,0.03134,0.51180,0.04825,3.188,9256.50,192.84,4.52,0.30
1089,1.14240,0.07406,0.48540,0.02115,2.354,9273.52,193.20,4.53,0.30
1090,1.17590,0.08450,0.48380,0.00853,2.431,9290.55,193.55,4.54,0.30
1091,1.19420,0.16293,0.50050,0.04363,2.386,9307.59,193.91,4.54,0.30
1092,1.20260,0.07394,0.57350,0.07628,2.097,9324.66,194.26,4.55,0.30
1093,1.18520,0.11718,0.53180,0.05502,2.229,9341.73,194.62,4.56,0.30
1094,1.16410,0.05532,0.48050,0.02167,2.423,9358.83,194.98,4.57,0.30
1095,1.13370,0.07450,0.51060,0.07700,2.220,9375.94,195.33,4.58,0.31
1096,1.25490,0.07574,0.52440,0.02572,2.393,9393.06,195.69,4.59,0.31
1097,1.26390,0.22555,0.47490,0.01273,2.661,9410.20,196.05,4.59,0.31
1098,1.16910,0.06370,0.48620,0.01933,2.405,9427.36,196.40,4.60,0.31
1099,1.23230,0.13795,0.48240,0.01473,2.555,9444.53,196.76,4.61,0.31
1100,1.23490,0.08563,0.56020,0.15168,2.204,9461.72,197.12,4.62,0.31
1101,1.41900,0.11085,0.49210,0.01282,2.884,9478.92,197.48,4.63,0.31
1102,1.48810,0.14061,0.50450,0.01647,2.950,9496.14,197.84,4.64,0.31
1103,1.17190,0.11979,0.50170,0.04921,2.336,9513.38,198.20,4.65,0.31
1104,1.68660,0.05911,0.62020,0.14890,2.719,9530.62,198.55,4.65,0.31
1105,1.34570,0.19890,0.52030,0.05977,2.586,9547.89,198.91,4.66,0.31
1106,1.48220,0.29228,0.52270,0.03199,2.836,9565.17,199.27,4.67,0.31
1107,1.81070,0.43579,0.52570,0.03363,3.444,9582.47,199.63,4.68,0.31
1108,1.18760,0.03124,0.50200,0.02186,2.366,9599.78,200.00,4.69,0.31
1109,1.24660,0.21741,0.49750,0.02081,2.506,9617.11,200.36,4.70,0.31
1110,1.19670,0.08196,0.49070,0.01617,2.439,9634.45,200.72,4.70,0.31
1111,1.28790,0.11781,0.49820,0.02154,2.585,9651.81,201.08,4.71,0.31
1112,1.23010,0.02112,0.49980,0.01813,2.461,9669.19,201.44,4.72,0.31
1113,1.17060,0.09349,0.50190,0.02346,2.332,9686.58,201.80,4.73,0.32
1114,1.21010,0.06750,0.50230,0.01799,2.409,9703.98,202.17,4.74,0.32
1115,1.23370,0.16248,0.58330,0.10995,2.115,9721.41,202.53,4.75,0.32
1116,1.25250,0.07644,0.50870,0.01612,2.462,9738.84,202.89,4.76,0.32
1117,1.37700,0.18813,0.50600,0.01908,2.721,9756.30,203.26,4.76,0.32
1118,1.22640,0.06869,0.56920,0.09582,2.155,9773.77,203.62,4.77,0.32
1119,1.49160,0.21259,0.53750,0.04765,2.775,9791.25,203.98,4.78,0.32
1120,1.87400,0.16739,0.54000,0.02717,3.470,9808.75,204.35,4.79,0.32
1121,1.39040,0.10643,0.58200,0.16623,2.389,9826.27,204.71,4.80,0.32
1122,1.27620,0.09450,0.51060,0.01829,2.499,9843.80,205.08,4.81,0.32
1123,1.23690,0.14926,0.56400,0.10674,2.193,9861.34,205.44,4.82,0.32
1124,1.33130,0.13144,0.54760,0.03757,2.431,9878.91,205.81,4.82,0.32
1125,1.60240,0.37988,0.52930,0.02403,3.027,9896.48,206.18,4.83,0.32
1126,1.34750,0.19448,0.53770,0.05311,2.506,9914.08,206.54,4.84,0.32
1127,1.80850,0.59090,0.62120,0.16584,2.911,9931.69,206.91,4.85,0.32
1128,1.33190,0.04169,0.50970,0.03109,2.613,9949.31,207.28,4.86,0.32
1129,1.31520,0.31253,0.53290,0.03325,2.468,9966.95,207.64,4.87,0.32
1130,1.23650,0.06616,0.50950,0.01848,2.427,9984.61,208.01,4.88,0.33
1131,1.33210,0.23915,0.78600,0.11144,1.695,10002.28,208.38,4.88,0.33
1132,1.37150,0.11274,0.77390,0.16399,1.772,10019.97,208.75,4.89,0.33
1133,1.54900,0.32612,0.63320,0.12456,2.446,10037.67,209.12,4.90,0.33
1134,1.46920,0.29211,0.67530,0.11558,2.176,10055.39,209.49,4.91,0.33
1135,1.41790,0.12723,0.72800,0.01738,1.948,10073.12,209.86,4.92,0.33
1136,1.78690,0.03446,0.64050,0.15551,2.790,10090.88,210.23,4.93,0.33
1137,1.29460,0.12605,0.51420,0.01385,2.518,10108.64,210.60,4.94,0.33
1138,1.29180,0.06860,0.53740,0.03025,2.404,10126.42,210.97,4.94,0.33
1139,1.60170,0.31487,0.54900,0.02253,2.917,10144.22,211.34,4.95,0.33
1140,1.31690,0.10814,0.52810,0.01531,2.494,10162.03,211.71,4.96,0.33
1141,1.52440,0.16545,0.69330,0.18531,2.199,10179.86,212.08,4.97,0.33
1142,1.32380,0.09743,0.65690,0.14561,2.015,10197.70,212.45,4.98,0.33
1143,1.32410,0.09783,0.52580,0.03058,2.518,10215.56,212.82,4.99,0.33
1144,1.43940,0.19063,0.56800,0.03628,2.534,10233.44,213.20,5.00,0.33
1145,1.42910,0.17969,0.82370,0.04652,1.735,10251.33,213.57,5.01,0.33
1146,1.54480,0.20788,0.57700,0.03235,2.677,10269.23,213.94,5.01,0.33
1147,1.26540,0.11472,0.54830,0.01896,2.308,10287.16,214.32,5.02,0.33
1148,1.42350,0.12535,0.60490,0.05660,2.353,10305.09,214.69,5.03,0.34
1149,1.25640,0.09582,0.53670,0.01749,2.341,10323.05,215.06,5.04,0.34
1150,1.28000,0.04760,0.54710,0.02030,2.340,10341.02,215.44,5.05,0.34
1151,1.24810,0.05592,0.54310,0.02786,2.298,10359.00,215.81,5.06,0.34
1152,1.96570,0.06724,0.55620,0.03021,3.534,10377.00,216.19,5.07,0.34
1153,1.34350,0.13823,0.55700,0.03250,2.412,10395.02,216.56,5.08,0.34
1154,1.26880,0.04653,0.54070,0.02538,2.347,10413.05,216.94,5.08,0.34
1155,1.44410,0.18742,0.53920,0.01956,2.678,10431.09,217.31,5.09,0.34
1156,1.39810,0.12342,0.64350,0.10310,2.173,10449.16,217.69,5.10,0.34
1157,1.59650,0.29408,0.65980,0.08487,2.420,10467.23,218.07,5.11,0.34
1158,1.45920,0.20904,0.64260,0.07989,2.271,10485.33,218.44,5.12,0.34
1159,1.76440,0.18406,0.64910,0.10154,2.718,10503.44,218.82,5.13,0.34
1160,1.51630,0.16053,0.57170,0.03581,2.652,10521.56,219.20,5.14,0.34
1161,1.95100,0.29887,0.60340,0.08113,3.233,10539.70,219.58,5.15,0.34
1162,1.76550,0.17049,0.86140,0.21686,2.050,10557.86,219.96,5.16,0.34
1163,1.42750,0.17934,0.56340,0.03472,2.534,10576.03,220.33,5.16,0.34
1164,1.56740,0.20434,0.70370,0.18510,2.227,10594.22,220.71,5.17,0.34
1165,1.54650,0.15261,0.57300,0.05651,2.699,10612.42,221.09,5.18,0.35
1166,1.34800,0.04624,0.55550,0.01761,2.427,10630.64,221.47,5.19,0.35
1167,1.42110,0.12513,0.55690,0.02981,2.552,10648.88,221.85,5.20,0.35
1168,1.81770,0.14474,0.59750,0.04497,3.042,10667.12,222.23,5.21,0.35
1169,1.65360,0.40404,1.11400,1.17410,1.484,10685.39,222.61,5.22,0.35
1170,1.43880,0.09014,0.57760,0.03432,2.491,10703.67,222.99,5.23,0.35
1171,1.70260,0.66215,0.72040,0.10165,2.363,10721.97,223.37,5.24,0.35
1172,1.67760,0.19984,0.76110,0.09855,2.204,10740.28,223.76,5.24,0.35
1173,1.57110,0.30093,1.26630,1.83729,1.241,10758.61,224.14,5.25,0.35
1174,1.61480,0.21483,0.59890,0.04333,2.696,10776.95,224.52,5.26,0.35
1175,1.40520,0.08883,0.91920,0.27559,1.529,10795.31,224.90,5.27,0.35
1176,1.54770,0.13339,0.75020,0.08900,2.063,10813.69,225.29,5.28,0.35
1177,1.54840,0.14853,0.62860,0.05569,2.463,10832.08,225.67,5.29,0.35
1178,1.41900,0.12740,0.80270,0.09061,1.768,10850.48,226.05,5.30,0.35
1179,1.73810,0.16948,0.77360,0.09147,2.247,10868.91,226.44,5.31,0.35
1180,1.49430,0.13882,0.65860,0.06435,2.269,10887.34,226.82,5.32,0.35
1181,1.68020,0.15279,0.71840,0.11423,2.339,10905.80,227.20,5.33,0.36
1182,2.12050,0.16894,0.65070,0.08173,3.259,10924.27,227.59,5.33,0.36
1183,1.51790,0.13758,0.58650,0.04382,2.588,10942.75,227.97,5.34,0.36
1184,2.05190,0.33884,0.81580,0.11955,2.515,10961.25,228.36,5.35,0.36
1185,2.03000,0.30439,0.92310,0.07588,2.199,10979.77,228.75,5.36,0.36
1186,1.56250,0.23452,0.70550,0.11289,2.215,10998.30,229.13,5.37,0.36
1187,1.60150,0.25120,0.73470,0.15649,2.180,11016.84,229.52,5.38,0.36
1188,1.42440,0.10294,0.79720,0.05418,1.787,11035.41,229.90,5.39,0.36
1189,1.40630,0.10828,0.66700,0.14195,2.108,11053.98,230.29,5.40,0.36
1190,1.76910,0.23687,0.86880,0.16909,2.036,11072.58,230.68,5.41,0.36
1191,2.06650,0.23720,0.72750,0.15657,2.841,11091.19,231.07,5.42,0.36
1192,1.45170,0.03628,0.58580,0.01689,2.478,11109.81,231.45,5.42,0.36
1193,1.64990,0.38020,0.83110,0.08747,1.985,11128.45,231.84,5.43,0.36
1194,1.75980,0.27819,0.61650,0.03722,2.855,11147.11,232.23,5.44,0.36
1195,2.36790,0.39220,0.92660,0.08033,2.555,11165.78,232.62,5.45,0.36
1196,1.84180,0.28400,0.69460,0.12002,2.652,11184.47,233.01,5.46,0.36
1197,1.95440,0.41316,0.80970,0.09145,2.414,11203.17,233.40,5.47,0.36
1198,1.64150,0.26706,0.61060,0.04637,2.688,11221.89,233.79,5.48,0.37
1199,1.59720,0.20401,0.91370,0.14174,1.748,11240.62,234.18,5.49,0.37
1200,2.18640,0.37858,0.64240,0.03857,3.403,11259.38,234.57,5.50,0.37
1201,2.18450,0.29234,0.80210,0.10508,2.723,11278.14,234.96,5.51,0.37
1202,1.52220,0.13584,0.60050,0.02460,2.535,11296.92,235.35,5.52,0.37
1203,2.00250,0.25725,0.72720,0.06500,2.754,11315.72,235.74,5.53,0.37
1204,1.67210,0.07802,0.64270,0.05251,2.602,11334.53,236.14,5.53,0.37
1205,1.63800,0.22341,0.94400,0.14624,1.735,11353.36,236.53,5.54,0.37
1206,1.61450,0.20690,0.77180,0.02644,2.092,11372.20,236.92,5.55,0.37
1207,1.54490,0.14177,0.91230,0.10874,1.693,11391.06,237.31,5.56,0.37
1208,1.48360,0.04886,0.77530,0.05214,1.914,11409.94,237.71,5.57,0.37
1209,1.55030,0.10964,0.82710,0.03861,1.874,11428.83,238.10,5.58,0.37
1210,1.56870,0.08982,0.75820,0.02904,2.069,11447.73,238.49,5.59,0.37
1211,1.55410,0.16413,0.86520,0.03739,1.796,11466.66,238.89,5.60,0.37
1212,1.71180,0.30060,0.89370,0.11724,1.915,11485.59,239.28,5.61,0.37
1213,1.65650,0.21227,0.77840,0.19480,2.128,11504.55,239.68,5.62,0.37
1214,1.60440,0.14425,0.69640,0.12857,2.304,11523.52,240.07,5.63,0.38
1215,1.57350,0.15862,0.61170,0.02055,2.572,11542.50,240.47,5.64,0.38
1216,2.16890,0.31342,0.78800,0.07935,2.752,11561.50,240.86,5.65,0.38
1217,1.74880,0.15612,0.67760,0.07944,2.581,11580.52,241.26,5.65,0.38
1218,1.52290,0.12507,0.61400,0.01960,2.480,11599.55,241.66,5.66,0.38
1219,1.45080,0.13279,0.59850,0.01922,2.424,11618.59,242.05,5.67,0.38
1220,1.50700,0.05679,0.60830,0.01550,2.477,11637.66,242.45,5.68,0.38
1221,1.53010,0.12429,0.60350,0.01969,2.535,11656.73,242.85,5.69,0.38
1222,1.61780,0.14804,0.78960,0.05707,2.049,11675.83,243.25,5.70,0.38
1223,1.86230,0.17506,0.61030,0.01706,3.051,11694.94,243.64,5.71,0.38
1224,1.70780,0.08017,0.78630,0.03249,2.172,11714.06,244.04,5.72,0.38
1225,1.78190,0.19152,0.81170,0.11230,2.195,11733.20,244.44,5.73,0.38
1226,1.64470,0.08641,0.80530,0.11289,2.042,11752.36,244.84,5.74,0.38
1227,1.95670,0.26561,0.92990,0.09731,2.104,11771.53,245.24,5.75,0.38
1228,1.71950,0.17804,0.66830,0.05385,2.573,11790.72,245.64,5.76,0.38
1229,1.50150,0.10908,0.60490,0.01714,2.482,11809.92,246.04,5.77,0.38
1230,1.60540,0.15520,0.63170,0.02359,2.541,11829.14,246.44,5.78,0.39
1231,1.59970,0.20462,0.76570,0.16249,2.089,11848.38,246.84,5.79,0.39
1232,2.08150,0.04166,0.63320,0.02101,3.287,11867.62,247.24,5.79,0.39
1233,1.71810,0.18641,0.63230,0.02458,2.717,11886.89,247.64,5.80,0.39
1234,1.82310,0.40535,0.77930,0.08282,2.339,11906.17,248.05,5.81,0.39
1235,1.91130,0.41406,0.80020,0.19432,2.389,11925.47,248.45,5.82,0.39
1236,1.57940,0.05464,0.63610,0.05830,2.483,11944.78,248.85,5.83,0.39
1237,1.89400,0.19604,0.68860,0.08068,2.751,11964.11,249.25,5.84,0.39
1238,1.79640,0.16752,0.67800,0.02659,2.650,11983.45,249.66,5.85,0.39
1239,1.69170,0.15487,0.64270,0.02307,2.632,12002.81,250.06,5.86,0.39
1240,1.63840,0.04983,0.83320,0.03924,1.966,12022.19,250.46,5.87,0.39
1241,1.88300,0.33981,0.90430,0.04330,2.082,12041.58,250.87,5.88,0.39
1242,1.70510,0.08285,0.95720,0.10195,1.781,12060.98,251.27,5.89,0.39
1243,2.14670,0.42452,0.91920,0.02901,2.335,12080.41,251.68,5.90,0.39
1244,1.78570,0.15618,0.85610,0.23467,2.086,12099.84,252.08,5.91,0.39
1245,1.94720,0.18482,0.93300,0.15739,2.087,12119.30,252.49,5.92,0.39
1246,2.41620,0.24437,0.89300,0.11148,2.706,12138.77,252.89,5.93,0.40
1247,2.69120,0.38536,0.66910,0.02979,4.022,12158.25,253.30,5.94,0.40
1248,2.37420,0.21620,0.88100,0.18215,2.695,12177.75,253.70,5.95,0.40
1249,1.98420,0.25548,0.71210,0.05230,2.786,12197.27,254.11,5.96,0.40
1250,2.35070,0.17153,0.84530,0.07644,2.781,12216.80,254.52,5.97,0.40
1251,2.68980,0.23400,0.74310,0.09528,3.620,12236.34,254.92,5.97,0.40
1252,2.27920,0.47109,0.72300,0.06069,3.152,12255.91,255.33,5.98,0.40
1253,1.67790,0.16440,0.64560,0.02177,2.599,12275.48,255.74,5.99,0.40
1254,1.82660,0.17462,1.04940,0.19854,1.741,12295.08,256.15,6.00,0.40
1255,1.86070,0.40523,0.76030,0.11419,2.447,12314.69,256.56,6.01,0.40
1256,1.84810,0.16597,0.84340,0.03111,2.191,12334.31,256.96,6.02,0.40
1257,2.10180,0.36663,0.92870,0.03540,2.263,12353.95,257.37,6.03,0.40
1258,1.72340,0.11384,0.69930,0.04440,2.464,12373.61,257.78,6.04,0.40
1259,1.74650,0.16754,0.66920,0.03520,2.610,12393.28,258.19,6.05,0.40
1260,1.64380,0.05383,0.86660,0.12246,1.897,12412.97,258.60,6.06,0.40
1261,2.08430,0.38557,0.77600,0.16844,2.686,12432.67,259.01,6.07,0.40
1262,1.87010,0.12660,0.70220,0.02555,2.663,12452.39,259.42,6.08,0.41
1263,2.08410,0.31183,0.83380,0.22808,2.500,12472.12,259.84,6.09,0.41
1264,2.28980,0.13704,0.70290,0.03385,3.258,12491.88,260.25,6.10,0.41
1265,2.59030,0.32284,0.92670,0.11711,2.795,12511.64,260.66,6.11,0.41
1266,1.83360,0.21044,0.80160,0.11238,2.287,12531.42,261.07,6.12,0.41
1267,2.37290,0.28599,1.06080,0.08448,2.237,12551.22,261.48,6.13,0.41
1268,1.83880,0.15740,0.71530,0.06242,2.571,12571.03,261.90,6.14,0.41
1269,2.01220,0.27743,0.67440,0.03458,2.984,12590.86,262.31,6.15,0.41
1270,2.08520,0.14901,0.69930,0.04072,2.982,12610.70,262.72,6.16,0.41
1271,2.16220,0.24061,1.01720,0.10962,2.126,12630.56,263.14,6.17,0.41
1272,1.78350,0.18853,0.89680,0.03747,1.989,12650.44,263.55,6.18,0.41
1273,2.27390,0.35946,1.00020,0.08480,2.273,12670.33,263.97,6.19,0.41
