矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
517,0.21797,0.03812,0.10190,0.01407,2.139,2092.23,43.59,1.02,0.07
518,0.20787,0.01699,0.10560,0.02412,1.968,2100.33,43.76,1.03,0.07
519,0.23090,0.04701,0.12030,0.03295,1.919,2108.44,43.93,1.03,0.07
520,0.21643,0.01534,0.09727,0.00959,2.225,2116.56,44.10,1.03,0.07
521,0.21423,0.01828,0.09857,0.00345,2.173,2124.70,44.26,1.04,0.07
522,0.20727,0.00847,0.09750,0.00642,2.126,2132.86,44.43,1.04,0.07
523,0.22287,0.02972,0.10097,0.00692,2.207,2141.03,44.60,1.05,0.07
524,0.21187,0.02769,0.13697,0.19942,1.547,2149.22,44.78,1.05,0.07
525,0.21463,0.01121,0.10117,0.00550,2.122,2157.42,44.95,1.05,0.07
526,0.21667,0.01965,0.11953,0.00614,1.813,2165.64,45.12,1.06,0.07
527,0.22183,0.01399,0.13197,0.00908,1.681,2173.88,45.29,1.06,0.07
528,0.33817,0.06891,0.14493,0.04222,2.333,2182.12,45.46,1.07,0.07
529,0.22310,0.01286,0.13680,0.01189,1.631,2190.39,45.63,1.07,0.07
530,0.21370,0.00732,0.12130,0.00880,1.762,2198.67,45.81,1.07,0.07
531,0.22267,0.01106,0.13640,0.01248,1.632,2206.97,45.98,1.08,0.07
532,0.21440,0.01188,0.12183,0.01026,1.760,2215.28,46.15,1.08,0.07
533,0.22083,0.00944,0.13807,0.01669,1.599,2223.61,46.33,1.09,0.07
534,0.21853,0.01083,0.12423,0.00853,1.759,2231.95,46.50,1.09,0.07
535,0.22493,0.01101,0.14047,0.01203,1.601,2240.31,46.67,1.09,0.07
536,0.28623,0.06557,0.12870,0.01949,2.224,2248.69,46.85,1.10,0.07
537,0.25453,0.05169,0.13730,0.00949,1.854,2257.08,47.02,1.10,0.07
538,0.22170,0.01042,0.13583,0.03494,1.632,2265.48,47.20,1.11,0.07
539,0.27347,0.07180,0.26160,0.36895,1.045,2273.91,47.37,1.11,0.07
540,0.22233,0.01208,0.12990,0.01362,1.712,2282.34,47.55,1.11,0.07
541,0.23787,0.03321,0.14347,0.01979,1.658,2290.80,47.72,1.12,0.07
542,0.22673,0.01251,0.12523,0.00894,1.810,2299.27,47.90,1.12,0.07
543,0.25277,0.05086,0.14447,0.02042,1.750,2307.75,48.08,1.13,0.08
544,0.42497,0.08238,0.13877,0.01726,3.062,2316.25,48.26,1.13,0.08
545,0.32443,0.06113,0.14767,0.01197,2.197,2324.77,48.43,1.14,0.08
546,0.26010,0.02810,0.10520,0.00677,2.472,2333.30,48.61,1.14,0.08
547,0.23717,0.01640,0.11700,0.02129,2.027,2341.84,48.79,1.14,0.08
548,0.23897,0.02783,0.10860,0.00606,2.200,2350.41,48.97,1.15,0.08
549,0.23643,0.01197,0.11303,0.01609,2.092,2358.98,49.15,1.15,0.08
550,0.23823,0.02306,0.13480,0.00866,1.767,2367.58,49.32,1.16,0.08
551,0.23993,0.01496,0.11153,0.00354,2.151,2376.19,49.50,1.16,0.08
